years	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
一般機械	1265627599	1702949874	2024272495	1947576107	1814244873	1702750617	1960160769	2885536287	3721789983	3960885965	3786092293	3856452716	4737864702	4533835033	4500038926	4842206753	5251920471	5892622991	6286493759	6461220944	5540237033	4316726104	4897092171	4998046707	5106191096	6399177664	6784096693
原動機	164088912	216523503	218866235	203512194	201305662	198108072	198102530	225010688	288438976	365225238	391415243	387305053	455916647	520901534	552082766	507871232	556960371	680401401	836583895	957637751	832122120	667668310	659182760	632724657	679483623	899113286	1020142538
(電算機類(含周辺機器))	280529339	386079179	420053687	424591066	407786638	485560098	618487597	1102087510	1426075422	1386313929	1293138247	1522180093	1967968217	1802449968	1734786636	1884181841	1930338745	2139034975	2014522573	1851658461	1636595577	1352767485	1570347863	1631956645	1708660264	2067934028	2025464794
(電算機類の部分品)	140665735	240827607	295548733	311975076	330550429	289774505	356048226	531365389	672726962	755911347	811457029	781090515	1021810865	868763680	820944447	861420263	932661944	853280536	850390885	757496291	574017865	514022385	551873522	429378536	430992058	525243082	481754104
電気機器	1259111263	1666469099	1878585052	1982051911	1864013986	2032365173	2527784547	3651466697	4367149305	4658414339	4418213998	4803356651	6156348666	5665084446	5840387114	6280553625	6888883400	7803849401	8834911944	9306002038	7738278811	7003653213	8208597048	8033588782	8678790777	10971371310	11604416978
半導体等電子部品	315312066	418112043	490543155	524815143	521897417	627701081	794849130	1328935572	1409462058	1553801181	1374641967	1630066588	2295757316	1771927511	1919764783	2106990080	2235910080	2531304262	2901394705	2814723926	2132821528	1919182012	2093028113	1721605286	1864465476	2684711916	2909724137
(ＩＣ)	244544878	329452279	383699561	402430153	405071420	505409305	665364204	1188693427	1234163827	1328112790	1185751264	1444797881	2066152105	1565151668	1672782782	1836348367	1927462991	2208750710	2538009243	2455900073	1828175404	1638060006	1723166850	1382484742	1376413108	1710974549	1809824521
音響・映像機器(含部品)	202003321	271431465	253376211	318197174	314454240	349497464	461924882	606704349	749177752	708967040	691008210	742946961	951703290	1072292205	1091404889	1207821354	1450289601	1617975696	1503343662	1488511666	1236243420	1267016404	1676939434	1338838531	1078805072	1245245894	1216403193
(映像記録・再生機器)	9944333	13209057	6980110	8205777	10412101	12431580	30568897	62362561	85303812	82590490	84721021	89203278	124848986	175112886	178992452	234593720	309966318	296240774	269222462	370228226	285345502	303391383	337126693	291847034	253195918	293883621	283967374
重電機器	100087693	138487888	155843950	174604225	161607541	167000301	201942924	262128696	343614575	383563186	384080039	367309244	437387257	427077488	431358496	447543325	450953149	481068940	567125913	579044258	518704628	388133924	446936872	495117945	466737012	576287139	644413532
通信機	64873246	104284285	127157991	124313390	111139290	150618720	215734477	338127124	457502294	427422712	452163122	480493880	558119886	526686445	388232756	338170686	347374955	413103567	645556139	1132276708	1044433410	1050267736	1344163999	1716607364	2265064111	2771234020	2860408768
電気計測機器	202536534	252678862	267549751	253212926	225375723	215759153	237150552	286521966	343087997	389324431	377509543	363118450	405955007	415743968	416565328	440201244	485645157	515430030	607857652	576612691	458089808	370111610	411275856	443441862	469982078	589433405	658875148
輸送用機器	718951273	1189246350	1563835559	1405585768	1241927781	1137759053	1375532763	1540843933	1800453593	1790011566	1784803759	1500256834	1468551598	1471545530	1765114471	1937800968	1906320916	2168260339	2315751001	2580339767	2038691027	1502349441	1724317270	1890111873	2334014339	3019375384	3029072778
自動車	411159201	698218541	908885810	681070436	629325648	606381850	818852844	1019581666	1150329463	882387556	710901977	741485823	769448057	774425197	791479149	889603011	863899174	949857667	886719577	919878805	658571155	467136907	642609576	781937136	935728351	1165752287	1129006953
自動車の部分品	59741123	86160345	115386640	129587375	131831966	112687421	120296342	142037969	189730139	215587152	206070602	184746977	234384658	265698036	336479335	354366155	388813072	441630696	548407517	665396546	558727588	413379625	487331676	488873861	564889283	761747741	831783161
航空機類	185715558	314636211	420655888	488809010	390293326	333850587	334654751	263120246	327231847	555648534	737049545	433843305	312425683	252743348	452900912	503977881	463305278	559683931	635458839	698445855	534772188	402468170	359667401	372333447	554873435	743273042	712308735
９．そのた	3448962959	4214627881	4687034004	4294742046	4182999254	4101421070	4676033419	5399681033	6449714294	6278611342	5892733007	5927022053	6735819598	7081535949	7031051715	7159519582	7688777864	8806494051	9793139444	9856809649	8985673972	7828407022	8095273606	8370593528	9018815544	10574214140	10808619564
雑製品	2599787226	3474361540	3816424134	3516811125	3541818793	3546432721	4003275123	4721980661	5741902158	5605380432	5186433839	5307841817	5977459119	6276508209	6200303508	6380661336	6740412855	7740204800	8595549325	8490756105	7711978536	6713065295	6963526047	7320520496	7954303906	9345821420	9570264276
特殊取扱品	849175733	740266341	870609870	777930921	641180461	554988349	672758296	677700372	707812136	673230910	706299168	619180236	758360479	805027740	830748207	778858246	948365009	1066289251	1197590119	1366053544	1273695436	1115341727	1131747559	1050073032	1064511638	1228392720	1238355288
科学光学機器	176069147	237561989	275243992	302869125	304979137	313766754	379362620	549926011	766951320	854003874	816796544	860850249	1019118874	1047884814	1083220025	1159959003	1237581061	1564445926	1776592609	1584575474	1354657755	1191729090	1273349278	1275372181	1369128300	1529960268	1589675038
衣類及び同付属品	930398139	1293840769	1246649853	1299207278	1410735411	1419651736	1593090439	1851424818	2152618672	1984005020	1847682944	1912387357	2195980868	2304606640	2181905584	2256260042	2339938496	2564467898	2760979265	2747828724	2624401117	2296158533	2397536032	2628895859	2753062641	3317522546	3323277303
家具	139074532	185090959	208817460	222899502	207476648	221469297	272172381	302210282	381643438	382513140	338680969	357070976	427099548	466861811	484415899	492097294	512111718	565310683	604190609	615556039	540159361	466883161	492300378	516662875	574870688	716271097	746055840
バッグ類	108787830	156503531	193349170	203865528	210875489	217579041	248735473	295596532	332961680	319623805	299351702	307450615	339715204	365968141	356659821	363204997	383841394	442397739	478892674	512316966	463811748	390626424	409229288	419375933	470702853	539044391	556035634
